﻿일,유종,휘발유[92RON],등유,경유[0.001%]
01월 02일,,82.94,89.16,92.30
01월 03일,,83.75,90.50,93.49
01월 06일,,83.62,90.36,92.72
01월 07일,,83.13,90.13,92.41
01월 08일,,83.34,91.37,93.56
01월 09일,,82.76,90.49,92.38
01월 10일,,83.98,92.03,94.08
01월 13일,,87.15,96.12,99.12
01월 14일,,86.28,94.86,96.71
01월 15일,,86.35,95.49,97.59
01월 16일,,86.76,97.44,99.57
01월 17일,,85.57,97.70,100.20
01월 20일,,84.52,96.88,99.75
01월 21일,,83.42,95.55,97.71
01월 22일,,83.27,94.78,96.83
01월 23일,,83.88,93.94,95.62
01월 24일,,83.87,93.84,94.87
01월 27일,,85.07,92.94,93.28
01월 28일,,84.93,92.72,93.03
01월 31일,,84.87,92.63,92.90
02월 03일,,86.42,93.93,93.41
02월 04일,,83.28,91.93,91.38
02월 05일,,84.07,92.27,92.12
02월 06일,,83.19,91.22,90.62
02월 07일,,83.87,91.76,91.45
02월 10일,,85.03,91.90,91.79
02월 11일,,86.02,93.33,93.27
02월 12일,,86.16,93.72,93.85
02월 13일,,84.60,91.64,91.97
02월 14일,,85.58,92.35,92.45
02월 17일,,86.28,91.91,91.93
02월 18일,,86.61,92.63,92.17
02월 19일,,87.02,93.26,92.73
02월 20일,,86.74,93.27,93.21
02월 21일,,85.51,92.90,93.22
02월 24일,,84.41,90.31,90.81
02월 25일,,84.60,90.83,91.22
02월 26일,,82.56,88.72,89.18
02월 27일,,81.95,87.76,88.18
02월 28일,,82.77,88.30,89.12
03월 03일,,82.19,87.21,88.63
03월 04일,,78.42,85.25,86.87
03월 05일,,78.32,85.04,86.93
03월 06일,,77.02,84.58,86.04
03월 07일,,76.99,84.40,86.12
03월 10일,,77.29,84.44,86.31
03월 11일,,76.66,83.46,85.25
03월 12일,,77.72,84.01,85.53
03월 13일,,79.10,84.69,85.79
03월 14일,,78.63,83.83,84.94
03월 17일,,79.63,84.09,85.53
03월 18일,,80.53,84.72,86.03
03월 19일,,78.82,83.67,84.85
03월 20일,,79.55,85.39,86.20
03월 21일,,80.58,86.08,86.72
03월 24일,,80.72,86.32,86.79
03월 25일,,81.93,86.48,87.07
03월 26일,,82.33,87.20,87.87
03월 27일,,82.34,87.09,87.84
03월 28일,,82.38,87.29,88.16
04월 01일,,83.68,87.79,89.17
04월 02일,,84.04,87.69,88.82
04월 03일,,81.59,86.11,87.18
04월 04일,,76.32,81.70,82.65
04월 07일,,71.38,77.47,78.24
04월 08일,,72.70,78.42,79.53
04월 09일,,68.87,74.87,75.89
04월 10일,,70.98,77.73,79.01
04월 11일,,70.36,77.16,78.56
04월 14일,,72.81,78.68,79.96
04월 15일,,73.14,79.75,80.74
04월 16일,,73.81,79.76,80.92
04월 17일,,74.97,80.72,81.92
04월 21일,,75.55,80.71,81.90
04월 22일,,75.83,81.01,82.09
04월 23일,,77.57,82.56,83.41
04월 24일,,76.20,81.21,81.83
04월 25일,,76.65,82.00,82.63
04월 28일,,76.28,81.79,82.56
04월 29일,,75.32,80.52,81.27
04월 30일,,73.35,78.42,79.01
05월 02일,,73.72,77.23,78.38
05월 05일,,71.60,75.51,76.51
05월 06일,,73.48,76.97,77.69
05월 07일,,74.81,77.86,78.60
05월 08일,,73.39,76.05,77.12
05월 09일,,75.23,77.48,78.91
05월 13일,,76.21,79.19,80.86
05월 14일,,77.17,80.79,82.50
05월 15일,,75.05,79.25,80.83
05월 16일,,75.09,78.74,80.49
05월 19일,,75.08,78.66,80.31
05월 20일,,74.78,78.72,80.38
05월 21일,,76.06,79.21,80.85
05월 22일,,75.85,77.65,78.93
05월 23일,,75.51,77.41,78.36
05월 26일,,76.02,78.16,79.18
05월 27일,,75.59,77.85,79.07
05월 28일,,75.18,77.76,78.93
05월 29일,,76.06,79.36,80.60
05월 30일,,74.66,77.31,78.80
06월 02일,,75.48,78.15,80.04
06월 03일,,75.87,78.32,80.24
06월 04일,,76.25,79.15,81.24
06월 05일,,75.19,78.28,80.40
06월 06일,,75.59,78.96,81.05
06월 09일,,76.86,80.46,82.37
06월 10일,,78.19,80.69,82.74
06월 11일,,77.90,80.34,82.52
06월 12일,,79.61,82.37,84.63
06월 13일,,83.32,85.97,88.36
06월 16일,,83.02,88.33,90.68
06월 17일,,83.90,89.23,91.62
06월 18일,,85.58,91.94,94.51
06월 19일,,86.68,95.11,98.05
06월 20일,,88.00,94.94,97.81
06월 23일,,87.44,92.04,94.71
06월 24일,,80.73,83.88,86.83
06월 25일,,79.31,84.71,87.74
06월 26일,,78.04,84.37,86.98
06월 27일,,77.80,85.46,87.99
06월 30일,,77.38,84.46,87.09
07월 01일,,77.66,83.89,87.07
07월 02일,,78.24,84.72,88.58
07월 03일,,78.84,85.62,89.67
07월 04일,,79.34,85.19,89.12
07월 07일,,78.43,86.13,90.22
07월 08일,,78.29,86.05,89.75
07월 09일,,79.68,88.02,91.83
07월 10일,,78.59,86.72,90.42
07월 11일,,77.59,85.72,89.70
07월 14일,,79.13,88.41,92.56
07월 15일,,77.17,86.02,89.75
07월 16일,,77.49,86.19,89.98
07월 17일,,77.40,86.18,90.45
07월 18일,,77.72,89.23,93.86
07월 21일,,76.99,87.28,91.87
07월 22일,,76.40,88.16,92.48
07월 23일,,75.54,87.35,90.88
07월 24일,,76.46,88.12,91.65
07월 25일,,76.51,87.53,91.59
07월 28일,,76.25,86.94,90.91
07월 29일,,77.78,88.15,91.73
07월 30일,,80.01,89.45,92.81
07월 31일,,80.70,90.02,93.49
08월 01일,,79.76,89.01,92.70
08월 04일,,77.48,86.37,89.40
08월 05일,,77.34,86.74,89.43
08월 06일,,77.22,85.95,87.89
08월 07일,,76.21,84.76,86.25
08월 08일,,76.47,84.12,86.66
08월 11일,,77.07,83.26,85.46
08월 12일,,78.36,84.66,86.90
08월 13일,,77.02,82.82,84.94
08월 14일,,77.41,82.75,84.84
08월 15일,,78.19,82.41,83.63
08월 18일,,76.70,81.88,83.10
08월 19일,,76.96,82.36,83.87
08월 20일,,78.14,83.56,85.33
08월 21일,,79.00,83.91,85.65
08월 22일,,79.94,85.08,86.79
08월 25일,,79.58,85.38,86.88
08월 26일,,79.17,85.36,86.70
08월 27일,,77.43,84.05,85.54
08월 28일,,78.28,84.11,85.74
08월 29일,,79.45,84.59,86.35
09월 01일,,79.30,84.43,86.20
09월 02일,,80.77,85.91,88.13
09월 03일,,80.72,87.40,89.83
09월 04일,,79.29,85.66,88.46
09월 05일,,79.21,85.50,88.51
09월 08일,,78.86,85.19,88.17
09월 09일,,79.21,85.95,88.85
09월 10일,,79.46,85.78,88.81
09월 11일,,79.68,86.50,89.17
09월 12일,,79.15,85.39,88.01
09월 15일,,81.04,86.30,88.77
09월 16일,,81.15,86.73,88.99
09월 17일,,81.72,88.61,90.60
09월 18일,,80.52,87.63,89.41
09월 19일,,79.19,87.11,88.76
09월 22일,,77.80,86.66,88.14
09월 23일,,77.23,86.47,87.55
09월 24일,,78.22,88.50,89.36
09월 25일,,79.26,89.59,90.74
09월 26일,,80.18,91.60,92.61
09월 29일,,79.89,90.62,91.86
09월 30일,,77.34,87.19,88.80
10월 01일,,76.93,87.92,90.18
10월 02일,,76.22,87.18,89.51
10월 03일,,75.26,85.61,88.00
10월 06일,,75.73,85.93,87.82
10월 07일,,76.45,86.05,87.73
10월 08일,,76.96,86.73,88.52
10월 09일,,77.57,87.53,89.57
10월 10일,,76.57,86.68,88.26
10월 13일,,75.94,85.74,86.87
10월 14일,,75.60,84.96,85.62
10월 15일,,75.77,84.80,85.24
10월 16일,,76.26,84.41,84.71
10월 17일,,74.83,83.39,83.39
10월 21일,,74.88,84.05,84.45
10월 22일,,75.57,85.60,86.12
10월 23일,,78.07,89.43,90.51
10월 24일,,79.89,91.48,92.92
10월 27일,,79.89,91.65,93.44
10월 28일,,79.25,92.15,93.68
10월 29일,,79.44,89.92,92.13
10월 30일,,79.78,90.70,92.82
10월 31일,,78.99,91.53,94.12
11월 03일,,79.82,92.09,94.25
11월 04일,,78.40,91.21,93.01
11월 05일,,78.06,92.67,94.44
11월 06일,,78.54,92.81,94.81
11월 07일,,79.18,94.87,97.17
11월 10일,,80.09,94.08,95.85
11월 11일,,80.05,94.46,96.46
11월 12일,,81.46,96.92,98.44
11월 13일,,79.21,93.98,94.68
11월 14일,,80.29,95.30,95.03
11월 17일,,80.47,95.70,95.42
11월 18일,,79.87,97.33,96.80
11월 19일,,78.16,100.48,99.47
11월 20일,,76.58,99.11,97.34
11월 21일,,76.14,92.53,91.45
11월 24일,,76.05,90.16,88.50
11월 25일,,76.42,89.80,88.14
11월 26일,,78.32,87.95,86.42
11월 27일,,78.54,87.57,86.50
11월 28일,,79.05,89.08,87.82
12월 01일,,79.77,89.54,87.79
12월 02일,,80.69,88.84,86.95
12월 03일,,79.50,87.82,85.66
12월 04일,,78.69,87.66,85.70
12월 05일,,78.55,87.75,85.86
12월 08일,,79.36,88.26,86.61
12월 09일,,77.65,86.46,84.51
12월 10일,,77.57,85.64,83.62
12월 11일,,77.59,84.41,82.57
12월 12일,,77.58,84.83,82.81
12월 15일,,77.45,83.68,81.61
12월 16일,,74.65,81.97,80.10
12월 17일,,74.29,81.16,79.38
12월 18일,,74.16,82.16,80.24
12월 19일,,73.17,80.90,78.94
12월 22일,,73.35,81.34,79.32
12월 23일,,73.29,81.97,79.89
12월 24일,,73.20,83.28,81.06
12월 26일,,72.59,82.52,80.57
12월 29일,,71.52,81.34,79.36
12월 30일,,71.73,81.80,79.75
12월 31일,,71.74,82.05,80.27
전일비,,0.01,0.25,0.52
전주비,,-1.46,-1.23,-0.79
전월동일비,,-7.31,-7.03,-7.55
전년동일비,,-10.42,-7.47,-11.57
평균,,78.80,86.42,87.73
