"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0011200","강원 원주시","51주유소","강원도 원주시  서원대로 51 (단계동)","20260309","SK에너지","일반","2098","1898","1958","0"
"A0011200","강원 원주시","51주유소","강원도 원주시  서원대로 51 (단계동)","20260310","SK에너지","일반","2098","1898","1958","0"
"A0000647","강원 원주시","CJ대한통운㈜ 강원주유소","강원 원주시 흥업면 원문로 898","20260309","GS칼텍스","셀프","0","0","1850","0"
"A0000647","강원 원주시","CJ대한통운㈜ 강원주유소","강원 원주시 흥업면 원문로 898","20260310","GS칼텍스","셀프","0","0","1850","0"
"A0011220","강원 원주시","CJ대한통운㈜ 토지주유소","강원 원주시 서원대로 516","20260309","S-OIL","셀프","2078","1958","1958","0"
"A0011220","강원 원주시","CJ대한통운㈜ 토지주유소","강원 원주시 서원대로 516","20260310","S-OIL","셀프","2078","1958","1958","0"
"A0011172","강원 원주시","HD현대오일뱅크㈜직영 동원셀프주유소","강원 원주시 남원로 505 (명륜동)","20260309","HD현대오일뱅크","셀프","1890","1800","1730","0"
"A0011172","강원 원주시","HD현대오일뱅크㈜직영 동원셀프주유소","강원 원주시 남원로 505 (명륜동)","20260310","HD현대오일뱅크","셀프","1890","1800","1745","0"
"A0011182","강원 원주시","HD현대오일뱅크㈜직영 부광주유소","강원 원주시 북원로 2929","20260309","HD현대오일뱅크","일반","2016","1770","1730","1650"
"A0011182","강원 원주시","HD현대오일뱅크㈜직영 부광주유소","강원 원주시 북원로 2929","20260310","HD현대오일뱅크","일반","2016","1770","1735","1650"
"A0011177","강원 원주시","HD현대오일뱅크㈜직영 평원현대주유소","강원 원주시 천사로 235 (평원동)","20260309","HD현대오일뱅크","셀프","2005","1800","1730","1650"
"A0011177","강원 원주시","HD현대오일뱅크㈜직영 평원현대주유소","강원 원주시 천사로 235 (평원동)","20260310","HD현대오일뱅크","셀프","2005","1800","1730","1650"
"A0011180","강원 원주시","KK㈜ 원주중앙주유소","강원 원주시 북원로 2509","20260309","SK에너지","일반","2050","1945","1925","1600"
"A0011180","강원 원주시","KK㈜ 원주중앙주유소","강원 원주시 북원로 2509","20260310","SK에너지","일반","2050","1945","1925","1600"
"A0010932","강원 원주시","SK만종주유소","강원 원주시 호저면 원문로 545","20260309","SK에너지","일반","0","1898","1918","1500"
"A0010932","강원 원주시","SK만종주유소","강원 원주시 호저면 원문로 545","20260310","SK에너지","일반","0","1898","1918","1500"
"A0011047","강원 원주시","SK에너지(주) 혁신주유소","강원 원주시 행구로 121","20260309","SK에너지","일반","0","1737","1748","1230"
"A0011047","강원 원주시","SK에너지(주) 혁신주유소","강원 원주시 행구로 121","20260310","SK에너지","일반","0","1737","1748","1230"
"A0011179","강원 원주시","SK원주주유소","강원 원주시 북원로 2732 (태장동)","20260309","SK에너지","셀프","0","1887","1927","0"
"A0011179","강원 원주시","SK원주주유소","강원 원주시 북원로 2732 (태장동)","20260310","SK에너지","셀프","0","1887","1927","0"
"A0011222","강원 원주시","㈜강인산업개발 학성지점","강원 원주시  강변로 685","20260309","GS칼텍스","셀프","0","1889","1898","1350"
"A0011222","강원 원주시","㈜강인산업개발 학성지점","강원 원주시  강변로 685","20260310","GS칼텍스","셀프","0","1889","1898","1350"
"A0011221","강원 원주시","㈜동경 원주Self주유소","강원도 원주시 치악로 1563","20260309","SK에너지","셀프","0","1958","1998","0"
"A0011221","강원 원주시","㈜동경 원주Self주유소","강원도 원주시 치악로 1563","20260310","SK에너지","셀프","0","1958","1958","0"
"A0011176","강원 원주시","㈜버드에너지 단계제일","강원 원주시 서원대로 154","20260309","S-OIL","셀프","0","1886","1893","0"
"A0011176","강원 원주시","㈜버드에너지 단계제일","강원 원주시 서원대로 154","20260310","S-OIL","셀프","0","1876","1883","0"
"A0014096","강원 원주시","㈜버드에너지 무실제일주유소","강원 원주시 북원로 2151","20260309","S-OIL","셀프","1987","1877","1893","0"
"A0014096","강원 원주시","㈜버드에너지 무실제일주유소","강원 원주시 북원로 2151","20260310","S-OIL","셀프","1987","1877","1883","0"
"A0010218","강원 원주시","㈜비지에프휴먼넷 치악(부산방향)주유소/충전소","강원 원주시 신림면 치악로 416","20260309","알뜰(ex)","셀프","0","1799","1799","0"
"A0010218","강원 원주시","㈜비지에프휴먼넷 치악(부산방향)주유소/충전소","강원 원주시 신림면 치악로 416","20260310","알뜰(ex)","셀프","0","1839","1859","0"
"A0010219","강원 원주시","㈜비지에프휴먼넷 치악(춘천방향)주유소/충전소","강원 원주시 신림면 다리실2길 32","20260309","알뜰(ex)","셀프","0","1799","1799","0"
"A0010219","강원 원주시","㈜비지에프휴먼넷 치악(춘천방향)주유소/충전소","강원 원주시 신림면 다리실2길 32","20260310","알뜰(ex)","셀프","0","1839","1859","0"
"A0011215","강원 원주시","㈜월인톨게이트주유소","강원 원주시 문막읍 원문로 1734-18","20260309","GS칼텍스","셀프","0","1938","1998","1650"
"A0011215","강원 원주시","㈜월인톨게이트주유소","강원 원주시 문막읍 원문로 1734-18","20260310","GS칼텍스","셀프","0","1938","1998","1650"
"A0005600","강원 원주시","㈜한영 원주지점","강원 원주시 소초면 북원로 3110","20260309","HD현대오일뱅크","셀프","0","1879","1979","0"
"A0005600","강원 원주시","㈜한영 원주지점","강원 원주시 소초면 북원로 3110","20260310","HD현대오일뱅크","셀프","0","1879","1967","0"
"A0011141","강원 원주시","㈜행복드림주유소","강원 원주시 호저면 원문로 402","20260309","알뜰주유소","셀프","0","1840","1860","1250"
"A0011141","강원 원주시","㈜행복드림주유소","강원 원주시 호저면 원문로 402","20260310","알뜰주유소","셀프","0","1850","1870","1700"
"A0010876","강원 원주시","가나주유소","강원 원주시 판부면 용수골길 230","20260309","S-OIL","일반","0","1888","1888","1700"
"A0010876","강원 원주시","가나주유소","강원 원주시 판부면 용수골길 230","20260310","S-OIL","일반","0","1898","1957","1700"
"A0011089","강원 원주시","강동에너지주유소","강원 원주시 평원로 111","20260309","GS칼텍스","셀프","0","1875","1895","1340"
"A0011089","강원 원주시","강동에너지주유소","강원 원주시 평원로 111","20260310","GS칼텍스","셀프","0","1875","1895","1340"
"A0011080","강원 원주시","강변주유소","강원 원주시 강변로 283 (단구동)","20260309","HD현대오일뱅크","일반","0","1938","1958","1700"
"A0011080","강원 원주시","강변주유소","강원 원주시 강변로 283 (단구동)","20260310","HD현대오일뱅크","일반","0","1938","1958","1750"
"A0010868","강원 원주시","개운주유소","강원 원주시 행구로 50","20260309","GS칼텍스","셀프","0","1938","1958","1500"
"A0010868","강원 원주시","개운주유소","강원 원주시 행구로 50","20260310","GS칼텍스","셀프","0","1938","1958","1500"
"A0010905","강원 원주시","고구려주유소","강원 원주시 현충로 288 (태장동)","20260309","SK에너지","일반","0","1887","1937","1350"
"A0010905","강원 원주시","고구려주유소","강원 원주시 현충로 288 (태장동)","20260310","SK에너지","일반","0","1887","1937","1350"
"A0010870","강원 원주시","관설주유소","강원 원주시 치악로 1371 (관설동)","20260309","SK에너지","일반","0","1958","1998","0"
"A0010870","강원 원주시","관설주유소","강원 원주시 치악로 1371 (관설동)","20260310","SK에너지","일반","0","1958","1998","0"
"A0010915","강원 원주시","귀래주유소","강원 원주시 귀래면 북원로 116-1","20260309","HD현대오일뱅크","일반","0","1896","1895","1670"
"A0010915","강원 원주시","귀래주유소","강원 원주시 귀래면 북원로 116-1","20260310","HD현대오일뱅크","일반","0","1896","1895","1670"
"A0033480","강원 원주시","기업도시 주유소","강원 원주시 지정면 기업도시로 125","20260309","HD현대오일뱅크","셀프","1995","1855","1885","0"
"A0033480","강원 원주시","기업도시 주유소","강원 원주시 지정면 기업도시로 125","20260310","HD현대오일뱅크","셀프","1995","1875","1895","0"
"A0011097","강원 원주시","남송주유소","강원 원주시 판부면 남원로 380","20260309","GS칼텍스","셀프","2048","1898","1958","1650"
"A0011097","강원 원주시","남송주유소","강원 원주시 판부면 남원로 380","20260310","GS칼텍스","셀프","2048","1877","1883","1650"
"A0011148","강원 원주시","남원주농협주유소","강원 원주시 흥업면 사제로 5","20260309","NH-OIL","일반","0","1830","1830","1500"
"A0011148","강원 원주시","남원주농협주유소","강원 원주시 흥업면 사제로 5","20260310","NH-OIL","일반","0","1830","1830","1500"
"A0033310","강원 원주시","남원주농협주유소 귀래지점","강원 원주시 귀래면 북원로 105","20260309","NH-OIL","일반","0","1830","1830","1500"
"A0033310","강원 원주시","남원주농협주유소 귀래지점","강원 원주시 귀래면 북원로 105","20260310","NH-OIL","일반","0","1830","1830","1500"
"A0011057","강원 원주시","늘푸른주유소","강원 원주시 동부순환로 69","20260309","SK에너지","일반","0","1898","1918","0"
"A0011057","강원 원주시","늘푸른주유소","강원 원주시 동부순환로 69","20260310","SK에너지","일반","0","1878","1898","0"
"A0010931","강원 원주시","다문주유소","강원 원주시 호저면 원문로 437","20260309","GS칼텍스","일반","0","1898","1958","0"
"A0010931","강원 원주시","다문주유소","강원 원주시 호저면 원문로 437","20260310","GS칼텍스","일반","0","1898","1958","0"
"A0010938","강원 원주시","단구주유소","강원 원주시 치악로 1464 (단구동)","20260309","GS칼텍스","셀프","2048","1898","1958","0"
"A0010938","강원 원주시","단구주유소","강원 원주시 치악로 1464 (단구동)","20260310","GS칼텍스","셀프","2048","1877","1883","0"
"A0010871","강원 원주시","대경주유소","강원 원주시 원문로 246 (단계동)","20260309","HD현대오일뱅크","일반","0","1898","1998","1400"
"A0010871","강원 원주시","대경주유소","강원 원주시 원문로 246 (단계동)","20260310","HD현대오일뱅크","일반","0","1948","1998","1500"
"A0011186","강원 원주시","대보건설(주) 원주(부산)주유소/충전소","강원 원주시 호저면 마근거리길 120","20260309","알뜰(ex)","셀프","0","1799","1799","0"
"A0011186","강원 원주시","대보건설(주) 원주(부산)주유소/충전소","강원 원주시 호저면 마근거리길 120","20260310","알뜰(ex)","셀프","0","1829","1829","0"
"A0013324","강원 원주시","대성주유소","강원 원주시 흥업면 원문로 804","20260309","HD현대오일뱅크","셀프","0","1860","1865","1700"
"A0013324","강원 원주시","대성주유소","강원 원주시 흥업면 원문로 804","20260310","HD현대오일뱅크","셀프","0","1860","1870","1700"
"A0033146","강원 원주시","대성주유소(주)대성에너지","강원 원주시 북원로 2607 (우산동)","20260309","S-OIL","셀프","0","1878","1902","1550"
"A0033146","강원 원주시","대성주유소(주)대성에너지","강원 원주시 북원로 2607 (우산동)","20260310","S-OIL","셀프","0","1855","1897","1550"
"A0011209","강원 원주시","동국 북원주 주유소","강원 원주시 소초면 북원로 3064","20260309","SK에너지","셀프","0","1859","1895","1900"
"A0011209","강원 원주시","동국 북원주 주유소","강원 원주시 소초면 북원로 3064","20260310","SK에너지","셀프","0","1859","1895","1600"
"A0010884","강원 원주시","동국 서원주 주유소","강원 원주시 문막읍 원문로 1227","20260309","SK에너지","셀프","0","1928","1998","1600"
"A0010884","강원 원주시","동국 서원주 주유소","강원 원주시 문막읍 원문로 1227","20260310","SK에너지","셀프","0","1928","1998","1600"
"A0010994","강원 원주시","동명주유소","강원 원주시 치악로 2090 (태장동)","20260309","알뜰주유소","셀프","0","1833","1833","1450"
"A0010994","강원 원주시","동명주유소","강원 원주시 치악로 2090 (태장동)","20260310","알뜰주유소","셀프","0","1833","1833","1450"
"A0010928","강원 원주시","동진주유소","강원 원주시 문막읍 원문로 1895","20260309","S-OIL","일반","2178","1995","2065","1350"
"A0010928","강원 원주시","동진주유소","강원 원주시 문막읍 원문로 1895","20260310","S-OIL","일반","2178","1995","2065","1350"
"A0011050","강원 원주시","두원일공오주유소","강원 원주시 현충로 40","20260309","HD현대오일뱅크","일반","0","0","0","1900"
"A0011050","강원 원주시","두원일공오주유소","강원 원주시 현충로 40","20260310","HD현대오일뱅크","일반","0","0","0","1900"
"A0011214","강원 원주시","만낭포금강개발직영주유소","강원 원주시 문막읍 보통로 153","20260309","SK에너지","일반","0","1850","1980","1350"
